team_id,last_game_date,elo_pre,avg_pts_for_last5,avg_pts_against_last5,win_pct_last5,netrtg_last10,efg_last10,tov_pct_last10,orb_pct_last10,ftr_last10
12303,2009-10-20,1450.354006719479,84.6,107.4,0.0,-22.247129950410965,0.45788336933045354,0.19001256281407036,0.22362869198312235,0.2591792656587473
12304,2016-10-05,1487.1457921418107,98.6,97.4,0.4,1.8991712707182273,0.5,0.16321581794441334,0.25984251968503935,0.3248407643312102
12305,2006-10-05,1470.0213623126313,,,,,,,,
12306,2006-10-06,1475.5857189844694,,,,,,,,
12307,2006-10-06,1477.2592973879543,,,,,,,,
12308,2013-10-09,1509.785076920438,93.0,96.2,0.4,-8.85335622686054,0.4872665534804754,0.20011858879335903,0.22,0.22580645161290322
12309,2007-10-06,1466.6443299657797,83.0,107.33333333333333,0.0,,,,,
12311,2007-10-09,1507.725279514147,,,,,,,,
12313,2007-10-13,1466.9603393252592,,,,,,,,
12314,2008-10-21,1480.2975067154957,,,,,,,,
12315,2016-10-03,1515.9654179402805,102.6,112.8,0.2,-8.052567158410113,0.5020833333333333,0.1851959025406563,0.26877470355731226,0.39375
12316,2007-10-19,1452.4492094320156,94.33333333333333,109.0,0.0,,,,,
12317,2007-10-07,1475.596283722902,,,,,,,,
12318,2007-10-11,1454.277609867078,,,,,,,,
12319,2009-10-06,1477.6867669401638,,,,,,,,
12320,2009-10-12,1471.5037430889074,,,,,,,,
12321,2015-10-09,1496.2499549743177,90.2,97.8,0.4,-8.120352166851859,0.48721227621483376,0.1754519795560302,0.25961538461538464,0.24040920716112532
12322,2012-10-08,1467.0158077149565,,,,,,,,
12323,2014-10-08,1508.1891167590163,,,,,,,,
12324,2013-10-06,1487.417841231741,,,,,,,,
12325,2015-10-17,1444.9664384810014,80.25,102.0,0.0,,,,,
12328,2015-10-11,1441.4539004205908,,,,,,,,
12329,2017-10-05,1472.0761001125722,,,,,,,,
12330,2016-10-14,1486.9938793597266,,,,,,,,
15015,2017-10-02,1481.4617527260914,,,,,,,,
15016,2017-10-08,1494.495731582117,,,,,,,,
15017,2017-10-13,1463.5678379836481,,,,,,,,
15018,2017-10-02,1480.4101508348676,,,,,,,,
15019,2022-10-06,1493.5453775501935,,,,,,,,
1610610023,1950-04-06,1573.4100096620734,69.2,74.8,0.4,,,,,
1610610024,1954-03-14,1262.9849062508904,75.8,88.2,0.0,,,,,
1610610025,1950-03-25,1501.4780393094652,71.4,74.6,0.4,,,,,
1610610026,1947-04-09,1487.7728010462793,71.4,76.0,0.2,,,,,
1610610027,1950-03-18,1216.610126682567,87.2,114.8,0.0,,,,,
1610610028,1947-03-29,1319.8611756006467,70.4,68.2,0.4,,,,,
1610610029,1949-03-15,1364.0123268503555,82.2,91.2,0.2,,,,,
1610610030,1953-03-23,1466.4885954414435,72.2,78.4,0.2,,,,,
1610610031,1947-03-26,1214.7991270920472,60.2,73.4,0.2,,,,,
